Member_number,Date,itemDescription
1967,20-01-2015,L'Oreal $2/1 skincare product ets
4708,20-03-2015,Megared $1/1 product
2874,15-02-2015,"Maybelline New York $2/1 brow, shadow or liner product "
4177,13-04-2015,Mitchum antiperspirant/deodorant prod
1663,7/2/2015,L'Oreal $2/1 skincare product ets
2632,2/3/2015,Farm Rich Bakery item 9.5 oz
1377,14-03-2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
4162,22-12-2015,Coppertone lotion $3/1
2270,1/7/2015,Dunkin Donuts $1/2 creamers
4829,3/11/2015,Farm Rich Bakery item 9.5 oz
3811,14-04-2015,Coppertone lotion $3/1
4766,29-09-2015,Blue Diamond $1/1 4oz+ almonds can or bag
2436,12/4/2015,Barabsol $.50/1 10oz shaving cream
3860,5/5/2015,Axe Hair Care Product
4875,12/5/2015,Barilla $1/2 Sauce
1587,1/7/2015,Best Foods $1/1 mayonnaise squeeze
4038,8/7/2015,Best Foods $1/1 mayonnaise squeeze
4750,21-09-2015,Dinty Moore $1/2 
1199,10/12/2015,Megared $1/1 product
1603,30-09-2015,Aveeno $1/1 produc
3111,31-01-2015,Axe Body Spray Product
3894,13-12-2015,Axe Hair Care Product
1456,18-09-2015,Ban $1/1 roll-on antiperspirant deodorant 
2022,4/3/2015,Barabsol $.50/1 10oz shaving cream
2505,30-11-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
4851,20-12-2015,Barilla $1/2 Sauce
4293,4/8/2015,Bausch+Lomb $1/1
2775,6/11/2015,Beefsteak 18 oz. bread 
3693,18-02-2015,Best Foods $1/1 mayonnaise squeeze
1202,22-07-2015,Axe Hair Care Product
3699,23-08-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
4152,15-04-2015,Blue Diamond $1/1 4oz+ almonds can or bag
4155,26-01-2015,Bounty/Charmin $.50/1 
4010,29-12-2015,Coppertone lotion $3/1
4389,20-10-2015,Blue Diamond $1/1 4oz+ almonds can or bag
3746,17-08-2015,Barabsol $.50/1 10oz shaving cream
2560,17-05-2015,Axe Hair Care Product
1503,25-07-2015,Barilla $1/2 Sauce
2555,23-12-2015,Best Foods $1/1 mayonnaise squeeze
3645,12/12/2015,Best Foods $1/1 mayonnaise squeeze
3886,11/9/2015,Dinty Moore $1/2 
2932,20-03-2015,Megared $1/1 product
1711,18-06-2015,Aveeno $1/1 produc
4291,8/12/2015,Axe Body Spray Product
1143,25-04-2015,Axe Hair Care Product
4564,8/7/2015,Coppertone lotion $3/1
3337,14-05-2015,Dunkin Donuts $1/2 creamers
4931,4/5/2015,Farm Rich Bakery item 9.5 oz
2623,10/10/2015,Coppertone lotion $3/1
4581,3/4/2015,Blue Diamond $1/1 4oz+ almonds can or bag
2635,11/6/2015,Barabsol $.50/1 10oz shaving cream
1095,30-10-2015,Axe Hair Care Product
2990,23-05-2015,Barilla $1/2 Sauce
2426,5/6/2015,Best Foods $1/1 mayonnaise squeeze
4555,7/11/2015,Best Foods $1/1 mayonnaise squeeze
3635,4/9/2015,Dinty Moore $1/2 
3058,18-05-2015,Megared $1/1 product
4391,26-03-2015,Dinty Moore $1/2 
1306,23-06-2015,Dove Clinical Protection Deodorant Product
1024,10/8/2015,Dunkin Donuts $1/2 creamers
1295,23-07-2015,Bausch+Lomb $1/1
1661,1/6/2015,Beefsteak 18 oz. bread 
4591,15-05-2015,Best Foods $1/1 mayonnaise squeeze
3169,14-06-2015,Axe Hair Care Product
3915,21-05-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
1127,14-01-2015,Blue Diamond $1/1 4oz+ almonds can or bag
4828,8/8/2015,Bounty/Charmin $.50/1 
3683,10/6/2015,Coppertone lotion $3/1
1971,18-09-2015,Blue Diamond $1/1 4oz+ almonds can or bag
3014,11/11/2015,Barabsol $.50/1 10oz shaving cream
3779,15-09-2015,Axe Hair Care Product
2489,4/5/2015,Barilla $1/2 Sauce
3564,27-06-2015,Best Foods $1/1 mayonnaise squeeze
4092,30-09-2015,Best Foods $1/1 mayonnaise squeeze
3221,13-01-2015,Dinty Moore $1/2 
1279,6/9/2015,Megared $1/1 product
2581,22-08-2015,Aveeno $1/1 produc
2295,25-02-2015,Axe Body Spray Product
4760,22-02-2015,Axe Hair Care Product
3649,16-01-2015,Best Foods $1/1 mayonnaise squeeze
1075,19-11-2015,Best Foods $1/1 mayonnaise squeeze
3987,19-08-2015,Dinty Moore $1/2 
4106,25-08-2015,Megared $1/1 product
4338,24-06-2015,Dinty Moore $1/2 
4166,6/11/2015,Dove Clinical Protection Deodorant Product
1211,10/3/2015,Dunkin Donuts $1/2 creamers
3954,21-01-2015,Bausch+Lomb $1/1
3928,18-07-2015,Beefsteak 18 oz. bread 
3827,30-09-2015,Best Foods $1/1 mayonnaise squeeze
4699,8/2/2015,Axe Hair Care Product
4747,8/6/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
3028,9/6/2015,Blue Diamond $1/1 4oz+ almonds can or bag
2851,16-03-2015,Bounty/Charmin $.50/1 
4417,25-02-2015,Coppertone lotion $3/1
3822,7/3/2015,Blue Diamond $1/1 4oz+ almonds can or bag
2288,31-05-2015,Barabsol $.50/1 10oz shaving cream
2184,30-06-2015,Axe Hair Care Product
4554,27-08-2015,Barilla $1/2 Sauce
3361,5/3/2015,Best Foods $1/1 mayonnaise squeeze
2999,17-04-2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
2614,25-06-2015,Coppertone lotion $3/1
4064,5/6/2015,Dunkin Donuts $1/2 creamers
3567,4/10/2015,Farm Rich Bakery item 9.5 oz
2587,7/5/2015,Coppertone lotion $3/1
3783,17-06-2015,Blue Diamond $1/1 4oz+ almonds can or bag
1923,14-02-2015,Barabsol $.50/1 10oz shaving cream
4835,19-02-2015,Axe Hair Care Product
1514,24-08-2015,Barilla $1/2 Sauce
3154,22-06-2015,Best Foods $1/1 mayonnaise squeeze
1313,25-12-2015,Best Foods $1/1 mayonnaise squeeze
2794,18-07-2015,Dinty Moore $1/2 
2359,9/4/2015,Megared $1/1 product
2238,9/3/2015,Dinty Moore $1/2 
3795,17-01-2015,Dove Clinical Protection Deodorant Product
3724,26-11-2015,Dunkin Donuts $1/2 creamers
1152,5/3/2015,Farm Rich Bakery item 9.5 oz
4559,16-03-2015,Fiber One $.50/2 chewy bars
3922,27-02-2015,Indiana Kitchen Bacon 
1709,22-04-2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
2219,17-04-2015,L'Oreal $2/1 skincare product ets
2206,17-10-2015,Megared $1/1 product
1752,6/4/2015,"Maybelline New York $2/1 brow, shadow or liner product "
3942,10/11/2015,Mitchum antiperspirant/deodorant prod
3296,17-08-2015,L'Oreal $2/1 skincare product ets
2257,5/2/2015,Farm Rich Bakery item 9.5 oz
4313,28-07-2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
2001,21-08-2015,Coppertone lotion $3/1
2449,8/7/2015,Dunkin Donuts $1/2 creamers
4914,12/4/2015,Farm Rich Bakery item 9.5 oz
2764,24-07-2015,Coppertone lotion $3/1
4187,9/5/2015,Blue Diamond $1/1 4oz+ almonds can or bag
1392,20-04-2015,Barabsol $.50/1 10oz shaving cream
3427,28-04-2015,Axe Hair Care Product
1411,20-02-2015,Barilla $1/2 Sauce
3390,14-11-2015,Best Foods $1/1 mayonnaise squeeze
4787,1/8/2015,Best Foods $1/1 mayonnaise squeeze
3310,17-01-2015,Dinty Moore $1/2 
1782,10/10/2015,Megared $1/1 product
3375,26-04-2015,Aveeno $1/1 produc
2760,7/1/2015,Axe Body Spray Product
4249,13-09-2015,Axe Hair Care Product
2904,6/6/2015,Ban $1/1 roll-on antiperspirant deodorant 
4090,26-02-2015,Barabsol $.50/1 10oz shaving cream
3060,5/7/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
3768,7/10/2015,Barilla $1/2 Sauce
1232,21-01-2015,Bausch+Lomb $1/1
1360,23-10-2015,Beefsteak 18 oz. bread 
1107,1/10/2015,Best Foods $1/1 mayonnaise squeeze
2865,4/11/2015,Axe Hair Care Product
2958,14-06-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
2448,12/7/2015,Blue Diamond $1/1 4oz+ almonds can or bag
1222,24-09-2015,Bounty/Charmin $.50/1 
2943,20-06-2015,Coppertone lotion $3/1
2270,11/8/2015,Blue Diamond $1/1 4oz+ almonds can or bag
3812,21-07-2015,Barabsol $.50/1 10oz shaving cream
1482,22-11-2015,Axe Hair Care Product
4720,22-02-2015,Barilla $1/2 Sauce
1344,4/9/2015,Best Foods $1/1 mayonnaise squeeze
2397,4/10/2015,Coppertone lotion $3/1
4182,12/5/2015,Blue Diamond $1/1 4oz+ almonds can or bag
4487,10/7/2015,Barabsol $.50/1 10oz shaving cream
3467,24-12-2015,Axe Hair Care Product
2443,15-11-2015,Barilla $1/2 Sauce
2749,27-01-2015,Best Foods $1/1 mayonnaise squeeze
4389,13-04-2015,Best Foods $1/1 mayonnaise squeeze
1674,4/12/2015,Dinty Moore $1/2 
4262,16-10-2015,Megared $1/1 product
2082,7/4/2015,Dinty Moore $1/2 
4494,6/1/2015,Dove Clinical Protection Deodorant Product
2460,28-09-2015,Dunkin Donuts $1/2 creamers
4509,29-11-2015,Bausch+Lomb $1/1
2267,3/7/2015,Beefsteak 18 oz. bread 
4891,5/9/2015,Best Foods $1/1 mayonnaise squeeze
3962,20-09-2015,Axe Hair Care Product
4964,18-07-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
2914,30-11-2015,Blue Diamond $1/1 4oz+ almonds can or bag
2808,5/5/2015,Bounty/Charmin $.50/1 
1085,15-08-2015,Coppertone lotion $3/1
3808,18-08-2015,Blue Diamond $1/1 4oz+ almonds can or bag
4149,7/1/2015,Barabsol $.50/1 10oz shaving cream
2331,5/6/2015,Axe Hair Care Product
4475,3/4/2015,Barilla $1/2 Sauce
2761,25-04-2015,Best Foods $1/1 mayonnaise squeeze
2620,14-12-2015,Best Foods $1/1 mayonnaise squeeze
3206,13-10-2015,Dinty Moore $1/2 
1226,13-04-2015,Megared $1/1 product
1395,7/3/2015,Aveeno $1/1 produc
2465,7/6/2015,Axe Body Spray Product
3572,9/7/2015,Axe Hair Care Product
4387,8/5/2015,Best Foods $1/1 mayonnaise squeeze
1555,27-03-2015,Best Foods $1/1 mayonnaise squeeze
1181,16-11-2015,Dinty Moore $1/2 
2814,11/5/2015,Megared $1/1 product
2794,16-09-2015,Dinty Moore $1/2 
2912,28-01-2015,Dove Clinical Protection Deodorant Product
4667,12/1/2015,Dunkin Donuts $1/2 creamers
2235,25-10-2015,Bausch+Lomb $1/1
2353,2/5/2015,Beefsteak 18 oz. bread 
3449,8/3/2015,Best Foods $1/1 mayonnaise squeeze
1058,10/11/2015,Axe Hair Care Product
1027,17-05-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
3302,22-05-2015,Blue Diamond $1/1 4oz+ almonds can or bag
2229,30-05-2015,Bounty/Charmin $.50/1 
2188,15-08-2015,Coppertone lotion $3/1
1547,18-04-2015,Blue Diamond $1/1 4oz+ almonds can or bag
1649,30-06-2015,Barabsol $.50/1 10oz shaving cream
3254,10/9/2015,Axe Hair Care Product
2818,7/11/2015,Barilla $1/2 Sauce
2703,8/5/2015,Best Foods $1/1 mayonnaise squeeze
3332,31-01-2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
2473,1/7/2015,Coppertone lotion $3/1
2810,30-12-2015,Dunkin Donuts $1/2 creamers
1033,22-04-2015,Farm Rich Bakery item 9.5 oz
4222,27-05-2015,Coppertone lotion $3/1
3679,21-09-2015,Blue Diamond $1/1 4oz+ almonds can or bag
2212,27-08-2015,Barabsol $.50/1 10oz shaving cream
1507,22-06-2015,Axe Hair Care Product
2870,21-01-2015,Barilla $1/2 Sauce
3429,26-04-2015,Best Foods $1/1 mayonnaise squeeze
4148,9/4/2015,Best Foods $1/1 mayonnaise squeeze
2970,30-12-2015,Dinty Moore $1/2 
2013,30-08-2015,Megared $1/1 product
3967,30-05-2015,Dinty Moore $1/2 
2885,15-05-2015,Dove Clinical Protection Deodorant Product
3935,2/7/2015,Dunkin Donuts $1/2 creamers
3283,1/5/2015,Farm Rich Bakery item 9.5 oz
3268,6/11/2015,Fiber One $.50/2 chewy bars
3677,30-04-2015,Indiana Kitchen Bacon 
3495,27-06-2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
1410,4/10/2015,L'Oreal $2/1 skincare product ets
2440,6/6/2015,Megared $1/1 product
4088,13-01-2015,"Maybelline New York $2/1 brow, shadow or liner product "
2469,23-09-2015,Mitchum antiperspirant/deodorant prod
4229,6/3/2015,L'Oreal $2/1 skincare product ets
2728,2/8/2015,Farm Rich Bakery item 9.5 oz
4694,25-01-2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
2836,29-12-2015,Coppertone lotion $3/1
1311,12/2/2015,Dunkin Donuts $1/2 creamers
1760,23-01-2015,Farm Rich Bakery item 9.5 oz
3656,2/3/2015,Coppertone lotion $3/1
3720,28-05-2015,Blue Diamond $1/1 4oz+ almonds can or bag
2996,26-09-2015,Barabsol $.50/1 10oz shaving cream
1949,22-07-2015,Axe Hair Care Product
4498,11/2/2015,Barilla $1/2 Sauce
2447,28-12-2015,Best Foods $1/1 mayonnaise squeeze
1952,23-03-2015,Best Foods $1/1 mayonnaise squeeze
4099,27-01-2015,Dinty Moore $1/2 
1804,12/3/2015,Megared $1/1 product
1510,16-05-2015,Aveeno $1/1 produc
2879,18-04-2015,Axe Body Spray Product
4899,12/3/2015,Axe Hair Care Product
4326,29-09-2015,Ban $1/1 roll-on antiperspirant deodorant 
1670,17-05-2015,Barabsol $.50/1 10oz shaving cream
1117,24-05-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
1346,3/4/2015,Barilla $1/2 Sauce
1178,15-11-2015,Bausch+Lomb $1/1
1649,25-06-2015,Beefsteak 18 oz. bread 
4651,21-06-2015,Best Foods $1/1 mayonnaise squeeze
4243,2/4/2015,Axe Hair Care Product
4429,21-07-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
4645,25-07-2015,Blue Diamond $1/1 4oz+ almonds can or bag
4019,24-07-2015,Bounty/Charmin $.50/1 
4459,26-04-2015,Coppertone lotion $3/1
3006,27-12-2015,Blue Diamond $1/1 4oz+ almonds can or bag
1834,17-09-2015,Barabsol $.50/1 10oz shaving cream
3236,4/7/2015,Axe Hair Care Product
1765,11/3/2015,Barabsol $.50/1 10oz shaving cream
3855,9/3/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
4392,28-11-2015,Barilla $1/2 Sauce
3330,26-07-2015,Bausch+Lomb $1/1
1723,2/9/2015,Beefsteak 18 oz. bread 
4110,30-03-2015,Best Foods $1/1 mayonnaise squeeze
2600,28-01-2015,Axe Hair Care Product
2946,7/10/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
2426,8/9/2015,Blue Diamond $1/1 4oz+ almonds can or bag
4170,3/5/2015,Bounty/Charmin $.50/1 
1109,6/4/2015,Coppertone lotion $3/1
3429,4/1/2015,Blue Diamond $1/1 4oz+ almonds can or bag
2055,4/2/2015,Barabsol $.50/1 10oz shaving cream
2480,20-09-2015,Axe Hair Care Product
2441,30-05-2015,Barilla $1/2 Sauce
1054,4/10/2015,Best Foods $1/1 mayonnaise squeeze
4818,11/1/2015,Best Foods $1/1 mayonnaise squeeze
3379,21-01-2015,Dinty Moore $1/2 
3939,10/2/2015,Megared $1/1 product
1367,5/8/2015,Aveeno $1/1 produc
1043,10/1/2015,Axe Body Spray Product
2231,17-10-2015,Axe Hair Care Product
3235,28-12-2015,Coppertone lotion $3/1
4554,16-07-2015,Dunkin Donuts $1/2 creamers
3245,24-01-2015,Farm Rich Bakery item 9.5 oz
2996,19-05-2015,Coppertone lotion $3/1
2507,5/1/2015,Blue Diamond $1/1 4oz+ almonds can or bag
4186,25-10-2015,Farm Rich Bakery item 9.5 oz
3929,28-04-2015,Coppertone lotion $3/1
3760,22-11-2015,Blue Diamond $1/1 4oz+ almonds can or bag
4928,18-08-2015,Barabsol $.50/1 10oz shaving cream
4217,18-12-2015,Axe Hair Care Product
1174,11/2/2015,Barilla $1/2 Sauce
4103,19-06-2015,Best Foods $1/1 mayonnaise squeeze
4408,13-03-2015,Best Foods $1/1 mayonnaise squeeze
2588,28-12-2015,Dinty Moore $1/2 
2598,11/11/2015,Megared $1/1 product
1518,11/12/2015,Dinty Moore $1/2 
2702,8/4/2015,Dove Clinical Protection Deodorant Product
1001,20-01-2015,Dunkin Donuts $1/2 creamers
2270,30-09-2015,Farm Rich Bakery item 9.5 oz
2838,10/11/2015,Fiber One $.50/2 chewy bars
1683,26-05-2015,Indiana Kitchen Bacon 
4040,3/4/2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
3897,23-08-2015,L'Oreal $2/1 skincare product ets
2200,11/3/2015,Megared $1/1 product
4073,29-01-2015,"Maybelline New York $2/1 brow, shadow or liner product "
3700,19-04-2015,Mitchum antiperspirant/deodorant prod
3973,10/6/2015,L'Oreal $2/1 skincare product ets
2715,6/7/2015,Farm Rich Bakery item 9.5 oz
3967,23-11-2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
4002,3/9/2015,Coppertone lotion $3/1
2962,1/3/2015,Dunkin Donuts $1/2 creamers
4340,25-12-2015,Farm Rich Bakery item 9.5 oz
2092,6/11/2015,Coppertone lotion $3/1
3143,24-05-2015,Dunkin Donuts $1/2 creamers
2209,3/10/2015,Farm Rich Bakery item 9.5 oz
2816,22-08-2015,Coppertone lotion $3/1
2659,1/6/2015,Blue Diamond $1/1 4oz+ almonds can or bag
1588,13-10-2015,Barabsol $.50/1 10oz shaving cream
1144,15-10-2015,Axe Hair Care Product
2166,10/12/2015,Barilla $1/2 Sauce
3300,6/10/2015,Best Foods $1/1 mayonnaise squeeze
3944,3/1/2015,Best Foods $1/1 mayonnaise squeeze
4979,24-04-2015,Dinty Moore $1/2 
2630,21-01-2015,Megared $1/1 product
4240,29-04-2015,Dinty Moore $1/2 
2357,8/7/2015,Dove Clinical Protection Deodorant Product
1743,18-04-2015,Dunkin Donuts $1/2 creamers
2331,15-02-2015,Farm Rich Bakery item 9.5 oz
1643,28-04-2015,Fiber One $.50/2 chewy bars
1291,20-03-2015,Indiana Kitchen Bacon 
3675,4/7/2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
4134,6/11/2015,Barabsol $.50/1 10oz shaving cream
1363,21-06-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
4212,1/5/2015,Barilla $1/2 Sauce
1500,21-03-2015,Bausch+Lomb $1/1
2622,1/10/2015,Beefsteak 18 oz. bread 
3543,18-03-2015,Best Foods $1/1 mayonnaise squeeze
2525,24-05-2015,Axe Hair Care Product
1264,12/10/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
3601,6/7/2015,Blue Diamond $1/1 4oz+ almonds can or bag
1771,23-03-2015,Bounty/Charmin $.50/1 
4694,6/2/2015,Coppertone lotion $3/1
1122,21-12-2015,Blue Diamond $1/1 4oz+ almonds can or bag
3507,12/8/2015,Barabsol $.50/1 10oz shaving cream
4524,26-04-2015,Axe Hair Care Product
3612,27-09-2015,Barilla $1/2 Sauce
3262,11/6/2015,Best Foods $1/1 mayonnaise squeeze
1897,25-01-2015,Best Foods $1/1 mayonnaise squeeze
1656,30-10-2015,Dinty Moore $1/2 
3953,10/1/2015,Megared $1/1 product
1488,21-06-2015,Aveeno $1/1 produc
1652,17-03-2015,Axe Body Spray Product
4953,16-09-2015,Axe Hair Care Product
3445,30-04-2015,Best Foods $1/1 mayonnaise squeeze
3180,15-03-2015,Best Foods $1/1 mayonnaise squeeze
4934,6/9/2015,Dinty Moore $1/2 
2980,27-04-2015,Megared $1/1 product
2763,13-02-2015,Dinty Moore $1/2 
4819,4/3/2015,Dove Clinical Protection Deodorant Product
3169,2/7/2015,Dunkin Donuts $1/2 creamers
1850,11/3/2015,Bausch+Lomb $1/1
4285,29-12-2015,Beefsteak 18 oz. bread 
4366,13-08-2015,Best Foods $1/1 mayonnaise squeeze
2253,16-06-2015,Axe Hair Care Product
3398,11/3/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
2215,22-07-2015,Blue Diamond $1/1 4oz+ almonds can or bag
3737,3/3/2015,Bounty/Charmin $.50/1 
2649,28-11-2015,Coppertone lotion $3/1
3203,7/8/2015,Blue Diamond $1/1 4oz+ almonds can or bag
4261,16-02-2015,Barabsol $.50/1 10oz shaving cream
2435,17-07-2015,Axe Hair Care Product
2046,21-08-2015,Barilla $1/2 Sauce
4267,11/2/2015,Best Foods $1/1 mayonnaise squeeze
1086,28-12-2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
1992,4/1/2015,Coppertone lotion $3/1
3622,26-07-2015,Dunkin Donuts $1/2 creamers
4700,27-06-2015,Farm Rich Bakery item 9.5 oz
2272,16-05-2015,Coppertone lotion $3/1
1663,19-05-2015,Blue Diamond $1/1 4oz+ almonds can or bag
2519,3/6/2015,Barabsol $.50/1 10oz shaving cream
2639,30-10-2015,Axe Hair Care Product
1466,19-04-2015,Barilla $1/2 Sauce
4122,23-10-2015,Best Foods $1/1 mayonnaise squeeze
3598,15-04-2015,Best Foods $1/1 mayonnaise squeeze
3097,10/8/2015,Dinty Moore $1/2 
1873,19-09-2015,Megared $1/1 product
1537,1/2/2015,Dinty Moore $1/2 
3960,25-03-2015,Dove Clinical Protection Deodorant Product
1136,15-06-2015,Dunkin Donuts $1/2 creamers
2453,21-12-2015,Farm Rich Bakery item 9.5 oz
1746,15-02-2015,Fiber One $.50/2 chewy bars
3572,9/6/2015,Indiana Kitchen Bacon 
3246,24-06-2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
3207,26-11-2015,L'Oreal $2/1 skincare product ets
1042,12/2/2015,Megared $1/1 product
1176,30-03-2015,"Maybelline New York $2/1 brow, shadow or liner product "
3054,23-02-2015,Mitchum antiperspirant/deodorant prod
4486,2/12/2015,L'Oreal $2/1 skincare product ets
1580,5/12/2015,Farm Rich Bakery item 9.5 oz
1623,2/11/2015,Irish Spring $1.00/1 bar soap multipack 6ct or larger 
4169,24-11-2015,Coppertone lotion $3/1
2254,24-01-2015,Dunkin Donuts $1/2 creamers
4095,1/11/2015,Farm Rich Bakery item 9.5 oz
1264,17-11-2015,Coppertone lotion $3/1
3375,6/1/2015,Blue Diamond $1/1 4oz+ almonds can or bag
3242,23-05-2015,Barabsol $.50/1 10oz shaving cream
2227,7/6/2015,Axe Hair Care Product
3847,3/12/2015,Barilla $1/2 Sauce
3897,31-05-2015,Best Foods $1/1 mayonnaise squeeze
1799,27-09-2015,Best Foods $1/1 mayonnaise squeeze
2920,26-04-2015,Dinty Moore $1/2 
3713,31-01-2015,Megared $1/1 product
4230,5/11/2015,Aveeno $1/1 produc
1455,18-03-2015,Axe Body Spray Product
3687,18-03-2015,Axe Hair Care Product
3869,1/8/2015,Ban $1/1 roll-on antiperspirant deodorant 
2988,14-10-2015,Barabsol $.50/1 10oz shaving cream
4242,30-03-2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
4118,24-12-2015,Barilla $1/2 Sauce
4996,24-10-2015,Bausch+Lomb $1/1
4489,4/3/2015,Beefsteak 18 oz. bread 
1199,9/11/2015,Best Foods $1/1 mayonnaise squeeze
4108,12/5/2015,Axe Hair Care Product
3484,5/6/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
1239,31-08-2015,Blue Diamond $1/1 4oz+ almonds can or bag
4839,19-12-2015,Bounty/Charmin $.50/1 
4748,7/5/2015,Coppertone lotion $3/1
4426,6/6/2015,Blue Diamond $1/1 4oz+ almonds can or bag
3571,11/12/2015,Barabsol $.50/1 10oz shaving cream
2852,8/6/2015,Axe Hair Care Product
3638,26-05-2015,Barabsol $.50/1 10oz shaving cream
3635,10/3/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
2723,7/5/2015,Barilla $1/2 Sauce
3495,11/3/2015,Bausch+Lomb $1/1
2813,16-11-2015,Beefsteak 18 oz. bread 
2799,2/9/2015,Best Foods $1/1 mayonnaise squeeze
4723,22-05-2015,Axe Hair Care Product
3313,8/4/2015,Barbasol $2/1 ultra 3 or ultra 6 plus razor
4748,15-12-2015,Blue Diamond $1/1 4oz+ almonds can or bag
2991,16-02-2015,Bounty/Charmin $.50/1 
